Latitude: 7.299960, Longitude: 79.870659, Speed: 4.87
Latitude: 7.299987, Longitude: 79.870667, Speed: 2.74
Latitude: 7.299966, Longitude: 79.870689, Speed: 4.07
Latitude: 7.299966, Longitude: 79.870689, Speed: 4.07
Latitude: 7.299966, Longitude: 79.870689, Speed: 4.07
Latitude: 7.299920, Longitude: 79.870705, Speed: 7.39
Latitude: 7.299920, Longitude: 79.870705, Speed: 7.39
Latitude: 7.299920, Longitude: 79.870705, Speed: 7.39
Latitude: 7.299920, Longitude: 79.870705, Speed: 7.39
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299979, Longitude: 79.870712, Speed: 4.28
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299971, Longitude: 79.870720, Speed: 3.35
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.299952, Longitude: 79.870735, Speed: 3.19
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300016, Longitude: 79.870689, Speed: 1.94
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300026, Longitude: 79.870667, Speed: 5.13
Latitude: 7.300046, Longitude: 79.870659, Speed: 2.41
Latitude: 7.300046, Longitude: 79.870659, Speed: 2.41
Latitude: 7.300046, Longitude: 79.870659, Speed: 2.41
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300051, Longitude: 79.870628, Speed: 4.87
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
Latitude: 7.300031, Longitude: 79.870598, Speed: 5.26
